,coin_name,coin_symbol,market_cap,percent_change_1h,percent_change_24h,percent_change_7d,price,volume_24h
87,secret,SCRT,936120745.4228712,-1.09290515,-7.66162081,10.68405879,6.248481061844122,35339454.7085695
88,iotex,IOTX,924393208.603338,-1.10531524,-11.07113999,21.50328569,0.09688864789568923,87103428.90483496
89,decred,DCR,901912685.7128886,-0.38393911,-2.63266206,-2.94713309,65.54376759910096,4726936.2570632
90,bora,BORA,868308151.9528457,-0.84850809,-6.65367792,-20.51659588,1.0081952417449587,164813920.45707822
91,holo,HOT,861340592.8413641,-0.95417585,-5.24222852,1.06141324,0.004973838197924705,83686241.60361816
92,yearn-finance,YFI,856489223.2102908,-1.04745524,-2.86542747,-8.33297459,23377.251492521526,106888202.45348957
93,compound,COMP,845074546.4380038,-0.98253592,-2.59319493,-4.96107417,128.74907014502517,68179920.30261926
94,celsius,CEL,757780633.2482674,-0.17641902,-4.3674046,17.82296303,3.172441877270637,2737279.78995137
95,xinfin,XDC,735347014.0025669,-0.5669842,-2.62042633,-3.44838593,0.05975995571928722,7846471.99191191
96,ravencoin,RVN,713564029.8583071,-1.61909522,-2.85289579,-8.20452525,0.06813179333889419,44224276.8164811
97,1inch,1INCH,705943761.1271867,-0.85867525,-3.56147761,-4.63641319,1.6980283802837515,67980934.9571282
98,renbtc,RENBTC,691571744.939936,0.01163513,0.02215918,3.08199734,42500.35771275956,1915329.237326
99,audius,AUDIO,676020321.5830059,0.22024436,-3.12722712,9.16495699,1.1112870000974844,21538653.32628153
